Country Name,Country Code,Region,IncomeGroup,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Germany,DEU,Europe & Central Asia,High income,1943150000000,1944110000000,2068620000000,2496130000000,2809190000000,2845800000000,2992200000000,3421230000000,3730030000000,3397790000000,3396350000000,3744410000000,3527340000000,3732740000000,3883920000000,3356240000000,3467500000000,3682600000000,3963770000000,3861120000000
Djibouti,DJI,Middle East & North Africa,Lower middle income,551230861.9,572417440.8,591122039.6,622044665.5,666072101.8,708633194.7,768873684,847918929.1,999105339.3,1049110685,1128611700,1239144502,1353632942,2042817163,2214681574,2430287967,2603554907,2751461056,3012820410,3324634256
Dominica,DMA,Latin America & Caribbean,Upper middle income,333468888.9,340205074.1,333195185.2,343310666.7,367199111.1,364255074.1,390250148.1,421375851.9,458190185.2,489074333.3,493825925.9,501025925.9,485996296.3,498296296.3,520207407.4,540737037,576229629.6,519837037,551074074.1,582403703.7
Denmark,DNK,Europe & Central Asia,High income,164159000000,164791000000,178635000000,218096000000,251373000000,264467000000,282885000000,319423000000,353361000000,321241000000,321995000000,344003000000,327149000000,343584000000,352994000000,302673000000,313116000000,332121000000,356879000000,350104000000
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,24305116729,25601765403,27137508655,21403167849,22322395369,35777570134,37879869898,43965420071,48122547177,48261033297,53860175557,58029750744,60681537195,62682163838,67179914026,71164825258,75704720190,79997975623,85555378044,88941299734
Algeria,DZA,Middle East & North Africa,Lower middle income,54790233856,54744725766,56760246982,67863841333,85325003122,103198000000,117027000000,134846000000,171008000000,137206000000,161155000000,200254000000,209021000000,209724000000,213860000000,166361000000,159995000000,170163000000,175406000000,171091000000
East Asia & Pacific (excluding high income),EAP,"","",1737750000000,1848790000000,2046200000000,2315830000000,2685130000000,3110130000000,3745630000000,4735290000000,5990760000000,6496160000000,7874770000000,9620270000000,10727600000000,11835600000000,12761600000000,13294600000000,13575800000000,14836000000000,16594100000000,17151700000000
Early-demographic dividend,EAR,"","",3310690000000,3276710000000,3181210000000,3538820000000,4114920000000,4796420000000,5484200000000,6503650000000,7333170000000,7059240000000,8575070000000,9613820000000,10081600000000,10259800000000,10620500000000,10311600000000,10550400000000,11399700000000,11646000000000,11989900000000
East Asia & Pacific,EAS,"","",8297740000000,7718740000000,7844840000000,8626680000000,9677470000000,10332400000000,10960400000000,12262900000000,14148100000000,14572400000000,16988700000000,19687400000000,21072100000000,21318600000000,22002200000000,21911600000000,22658600000000,24222700000000,26351300000000,26924700000000
Europe & Central Asia (excluding high income),ECA,"","",662443000000,655124000000,750180000000,946384000000,1255530000000,1587460000000,1946460000000,2503770000000,3102570000000,2434010000000,2944940000000,3660260000000,3904070000000,4139020000000,3841760000000,2916640000000,2773220000000,3114810000000,3192140000000,3248460000000
Europe & Central Asia,ECS,"","",10032200000000,10143000000000,11088800000000,13500600000000,15738400000000,16757300000000,18146300000000,21201900000000,23274100000000,20471200000000,20967700000000,23250000000000,22412500000000,23421000000000,23738500000000,20450300000000,20388800000000,21610800000000,23145700000000,22792800000000
Ecuador,ECU,Latin America & Caribbean,Upper middle income,18327764882,24468324000,28548945000,32432858000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,101726000000,99290381000,99937696000,104296000000,107562000000,107436000000
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,99838543960,96684636119,85146067416,80288461538,78782467532,89600665557,107426000000,130438000000,162818000000,189147000000,218984000000,235990000000,279117000000,288434000000,305595000000,329367000000,332442000000,235734000000,249713000000,303092000000
Euro area,EMU,"","",6479500000000,6590450000000,7166150000000,8842880000000,10141400000000,10519100000000,11174400000000,12862400000000,14099100000000,12885800000000,12628800000000,13623200000000,12639600000000,13190300000000,13490600000000,11668500000000,11967200000000,12671000000000,13686900000000,13356100000000
Eritrea,ERI,Sub-Saharan Africa,Low income,706370815.6,752368495.5,729321366.7,870247703.2,1109054005,1098425901,1211161880,1317974491,1380188800,1856695551,1589515447,2065001626,,,,,,,,
Spain,ESP,Europe & Central Asia,High income,596878000000,627287000000,705394000000,905492000000,1067090000000,1153290000000,1259340000000,1472130000000,1625220000000,1485580000000,1420720000000,1478770000000,1324820000000,1354760000000,1369400000000,1195120000000,1232080000000,1312540000000,1422150000000,1393490000000
Estonia,EST,Europe & Central Asia,High income,5694069842,6259257900,7372457380,9877636631,12144397516,14098326079,17012322168,22445583082,24371299253,19744110864,19693608289,23391530006,23192708982,25271406708,26773473625,23048864243,24259552889,26951648829,30631142227,31471100656
Ethiopia,ETH,Sub-Saharan Africa,Low income,8242392104,8231326016,7850809498,8623691300,10131187261,12401139454,15280861835,19707616773,27066912635,32437389116,29933790334,31952763089,43310721414,47648211133,55612228234,64589334979,74296618481,81770791971,84269348327,95912590628
European Union,EUU,"","",7259890000000,7387730000000,8049790000000,9912160000000,11399500000000,11905800000000,12703600000000,14711300000000,16237800000000,14710300000000,14544100000000,15744200000000,14636300000000,15293400000000,15632600000000,13545100000000,13886800000000,14758400000000,15965000000000,15626400000000
Fragile and conflict affected situations,FCS,"","",412071000000,407655000000,391544000000,416730000000,518798000000,649001000000,806143000000,981220000000,1264530000000,1193830000000,1430220000000,1453120000000,1678810000000,1763710000000,1923220000000,1726910000000,1550710000000,1569590000000,1698250000000,1778460000000
Finland,FIN,Europe & Central Asia,High income,125707000000,129421000000,139738000000,171274000000,197117000000,204809000000,216908000000,256053000000,284554000000,252497000000,249181000000,275244000000,258305000000,271285000000,274497000000,234440000000,240608000000,255232000000,275947000000,269296000000
Fiji,FJI,East Asia & Pacific,Upper middle income,1684109743,1660102346,1842691481,2315935753,2727507213,3006725015,3102741451,3405050612,3523185920,2870624636,3140508836,3774530616,3972012571,4190143206,4856963252,4682546881,4930204220,5353404419,5581393121,5496250694
France,FRA,Europe & Central Asia,High income,1362250000000,1376470000000,1494290000000,1840480000000,2115740000000,2196130000000,2318590000000,2657210000000,2918380000000,2690220000000,2642610000000,2861410000000,2683830000000,2811080000000,2852170000000,2438210000000,2471290000000,2595150000000,2787860000000,2715520000000
Faroe Islands,FRO,Europe & Central Asia,High income,1058702725,1147654635,1262669892,1494011567,1688237552,1727792693,1984445416,2290133549,2432415998,2268387771,2320424601,2490807831,2366301252,2627049837,2850743875,2518096286,2738832687,2905102304,3116887847,
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,233271800,240970900,242517200,245432900,240236000,250281900,253541900,256787200,263145100,280284600,296944100,311301600,327248700,317214400,319271200,316489900,332265200,366666800,401932300,
Gabon,GAB,Sub-Saharan Africa,Upper middle income,5067865321,5023265365,5335451308,6511903657,7770219480,9582783318,10327598801,12455410056,15571349776,12113699661,14372591916,18210308748,17170465294,17595745653,18203968002,14383107714,14023890620,14929488771,16862282414,16874450215
United Kingdom,GBR,Europe & Central Asia,High income,1657820000000,1640250000000,1784470000000,2053020000000,2416930000000,2538680000000,2713750000000,3100880000000,2922670000000,2410910000000,2475240000000,2659310000000,2704890000000,2786020000000,3063800000000,2928590000000,2694280000000,2666230000000,2860670000000,2829110000000
Georgia,GEO,Europe & Central Asia,Upper middle income,3057475289,3219488664,3395728014,3991284895,5125365192,6410823633,7745394293,10172882371,12795076469,10766836277,12243505583,15107441447,16488403076,17189551521,17627003455,14953950557,15141758567,16242916916,17599700091,17477255546
Ghana,GHA,Sub-Saharan Africa,Lower middle income,4983024408,5314909954,6166330136,7632406553,8881368538,10744675210,20440893017,24827844950,28678701891,26048108185,32197272797,39337314810,41270954737,62405374786,53660342160,48564863888,55009730600,58998132330,65556464048,66983634224
Guinea,GIN,Sub-Saharan Africa,Low income,2995360969,2829435957,2950198649,3446441698,3635458133,2937071767,4220019243,6281917656,6964179194,6716904569,6853467858,6785137173,7638045254,8376613843,8778473615,8794202444,8595955581,10324668267,10907214994,12296665331
"Gambia, The",GMB,Sub-Saharan Africa,Low income,782915402.4,687408804.6,578236035.1,487038821.6,961900106.9,1027702254,1054113427,1279704745,1561763437,1450140386,1543292393,1409694554,1415006238,1375608956,1229460602,1378176868,1484579844,1504909753,1670670669,1826073740
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,370173838.7,392621385.9,417806667.1,477458598.7,532062927.4,587029054.4,592365688.1,696910810.9,868154708.5,830126470,849878424.2,1099818652,989271229.6,1046087418,1054915645,1048229629,1179004941,1350177128,1458868242,1339449165
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,1045998496,1461139022,1806742742,2484745935,4410764339,8217369093,10086528699,13071718759,19749893536,15027795173,16314442183,21357344847,22388345810,21948835350,21765454404,13185496836,11240809132,12200914930,13278488567,11026774945
Greece,GRC,Europe & Central Asia,High income,130134000000,136191000000,153831000000,201924000000,240521000000,247783000000,273318000000,318498000000,354461000000,330000000000,299362000000,287798000000,245671000000,239862000000,237030000000,196591000000,195222000000,203588000000,218138000000,209853000000
Grenada,GRD,Latin America & Caribbean,Upper middle income,520044370.4,520444185.2,540336925.9,591018407.4,599118592.6,695555555.6,698700666.7,758683592.6,825976037,771275555.6,771013259.3,778655925.9,799882259.3,842620111.1,911497407.4,997007925.9,1061631222,1125685185,1168696296,1210603704
Greenland,GRL,Europe & Central Asia,High income,1068030830,1086172923,1169138789,1558753434,1822486689,1849805733,2013099482,2249811709,2499107511,2529948330,2503156061,2684467376,2609667674,2684952727,2842048998,2499115623,2707146783,2826651926,3051626390,
Guatemala,GTM,Latin America & Caribbean,Upper middle income,19288827159,18702802522,20776403774,21917430694,23965275794,27211377107,30231249625,34113107372,39136436614,37733609795,41338008613,47654783852,50388460925,52996540576,57852399705,62186186576,66053725049,71612352645,73118147941,76710355347
Guam,GUM,East Asia & Pacific,High income,,,3385000000,3560000000,3857000000,4197000000,4213000000,4375000000,4621000000,4781000000,4895000000,4928000000,5199000000,5336000000,5538000000,5710000000,5795000000,5851000000,5920000000,
Guyana,GUY,Latin America & Caribbean,Upper middle income,712667896.7,712167575.6,726131434.7,743064076.8,787814379.2,824880550.3,2379818383,2730968914,3025189399,3165661865,3432913353,3691384743,4063090016,4167801803,4127664336,4279840362,4482697337,4748174334,4787635821,5173759528
High income,HIC,"","",27650800000000,27392700000000,28554300000000,32016000000000,35650200000000,37727700000000,39867900000000,43642900000000,46410900000000,43504200000000,45585700000000,49211700000000,49262500000000,49886900000000,50986900000000,48169300000000,49181200000000,51468300000000,54656900000000,55140600000000
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,171668000000,169403000000,166349000000,161385000000,169100000000,181570000000,193536000000,211597000000,219280000000,214046000000,228638000000,248514000000,262629000000,275697000000,291459000000,309384000000,320838000000,341244000000,361697000000,365712000000
Honduras,HND,Latin America & Caribbean,Lower middle income,7103507989,7651174661,7858235333,8230387552,8869311411,9757034457,10917481688,12361257681,13881701034,14587496229,15839344592,17710315006,18528601901,18499710128,19756494435,20979767785,21717622071,23136232230,24024189736,25095395475
Heavily indebted poor countries (HIPC),HPC,"","",169208000000,161721000000,173731000000,197095000000,226372000000,258320000000,306651000000,366215000000,441915000000,448511000000,490276000000,546434000000,580701000000,647872000000,683129000000,676806000000,669729000000,713187000000,759124000000,783062000000
Croatia,HRV,Europe & Central Asia,High income,21633671681,23054778851,26813968851,34682900713,41587470547,45376744002,50423077102,60073426977,70234425974,62600093959,59918313669,62537851352,56580819624,58194069434,57639588806,49525747504,51601147666,55481644098,61375222347,60752588976
Haiti,HTI,Latin America & Caribbean,Low income,6868666120,6364908100,6106867934,5000238129,6005401730,7049954289,7408787819,9315973989,10386485528,11269821159,11661585823,13008748132,13708931890,14498080023,14790765760,14857386164,13723267961,14213814583,15965670198,14332163266
Hungary,HUN,Europe & Central Asia,High income,47218405892,53749989092,67608919144,85302003908,103960000000,112981000000,115577000000,139966000000,158136000000,130760000000,131917000000,141760000000,128475000000,135412000000,140765000000,125074000000,128471000000,142962000000,160419000000,163469000000
IBRD only,IBD,"","",5811790000000,5897140000000,5989580000000,6744330000000,8028180000000,9600200000000,11384900000000,14151700000000,16994600000000,16486400000000,20019000000000,23645000000000,25140800000000,26561000000000,27475600000000,25950100000000,26153400000000,28864200000000,30807700000000,31539000000000
IDA & IBRD total,IBT,"","",6282100000000,6362530000000,6490030000000,7306340000000,8686610000000,10365600000000,12305800000000,15231400000000,18288700000000,17759500000000,21483700000000,25307800000000,26931500000000,28527400000000,29578300000000,28039800000000,28183000000000,30964900000000,33032300000000,33852000000000
IDA total,IDA,"","",472835000000,467694000000,503419000000,565332000000,662230000000,769482000000,926016000000,1084800000000,1300130000000,1279720000000,1469120000000,1664990000000,1794080000000,1973430000000,2112920000000,2102310000000,2039740000000,2107390000000,2231100000000,2320310000000
IDA blend,IDB,"","",206220000000,205813000000,227250000000,255052000000,310739000000,371637000000,465384000000,536928000000,636082000000,596416000000,700032000000,804396000000,889579000000,965837000000,1036700000000,999758000000,931081000000,922589000000,964268000000,991548000000
Indonesia,IDN,East Asia & Pacific,Upper middle income,165021000000,160447000000,195661000000,234772000000,256837000000,285869000000,364571000000,432217000000,510229000000,539580000000,755094000000,892969000000,917870000000,912524000000,890815000000,860854000000,931877000000,1015620000000,1042240000000,1119190000000
IDA only,IDX,"","",265071000000,260270000000,274173000000,308043000000,348513000000,394072000000,455550000000,542167000000,658065000000,680043000000,763983000000,853829000000,895131000000,998443000000,1066190000000,1095340000000,1105540000000,1185500000000,1268820000000,1331970000000
Isle of Man,IMN,Europe & Central Asia,High income,1563667800,1659131244,1947332922,2328658228,2822358473,3032400000,3422651334,4466100440,5928420956,5487083658,5920177689,6566098382,6690725118,7000748788,7708834951,7085288006,6846691871,6979581725,7491969313,
India,IND,South Asia,Lower middle income,468395000000,485441000000,514938000000,607699000000,709149000000,820382000000,940260000000,1216740000000,1198900000000,1341890000000,1675620000000,1823050000000,1827640000000,1856720000000,2039130000000,2103590000000,2294800000000,2652750000000,2713170000000,2868930000000
Ireland,IRL,Europe & Central Asia,High income,99852958356,109135000000,127950000000,164285000000,193871000000,211649000000,232083000000,269918000000,275039000000,236316000000,222149000000,237472000000,224999000000,238544000000,258472000000,291500000000,300523000000,335663000000,382674000000,388699000000
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,109592000000,126879000000,128627000000,153545000000,190043000000,226452000000,266299000000,349882000000,412336000000,416397000000,486808000000,580765000000,598868000000,460293000000,432687000000,384951000000,417984000000,445345000000,453996000000,
Iraq,IRQ,Middle East & North Africa,Upper middle income,,,,,36627901762,49954890353,65140293688,88840050497,131614000000,111661000000,138462000000,185470000000,217808000000,234648000000,234648000000,177499000000,174896000000,195473000000,224228000000,234094000000
