Country,Total,Very happy,Quite happy,Not very happy,Not at all happy
Andorra,1003,279,649,59,10
Argentina,1002,325,553,99,14
Australia,1421,500,801,101,11
Brazil,1500,510,846,132,9
Bulgaria,1001,107,457,326,83
Canada,2164,1000,1060,82,13
Chile,1000,305,490,186,18
China,1991,374,1155,378,70
Taiwan,1227,265,779,146,36
Colombia,3025,1473,1156,363,27
Cyprus,1050,384,529,110,25
Ethiopia,1500,446,506,461,81
Finland,1014,299,634,68,12
France,1001,363,539,76,19
Georgia,1500,182,810,431,59
Germany,2064,398,1278,291,31
Ghana,1534,769,436,268,61
Guatemala,1000,440,340,216,3
Hong Kong,1252,86,960,193,6
Hungary,1007,172,589,209,32
India,2001,578,928,432,54
Indonesia,2015,508,1348,121,10
Iran,2667,483,1635,395,120
Iraq,2701,167,1242,767,462
Italy,1012,186,719,87,14
Japan,1096,311,646,98,12
Jordan,1200,358,685,131,26
South Korea,1200,155,894,140,11
Malaysia,1201,438,700,61,2
Mali,1534,598,669,207,41
Mexico,1560,909,505,129,11
Moldova,1046,101,424,356,134
Morocco,1200,295,674,196,34
Netherlands,1050,439,547,56,5
New Zealand,954,363,557,24,1
Norway,1025,375,612,34,2
Peru,1500,419,593,456,27
Poland,1000,213,664,72,12
Romania,1776,130,852,648,131
Russia,2033,213,1122,527,79
Rwanda,1507,179,1108,181,36
Serbia,1220,124,634,367,63
Vietnam,1495,336,1032,106,7
Slovenia,1037,185,643,169,25
South Africa,2988,1276,1049,469,182
Spain,1200,163,941,76,14
Sweden,1003,431,533,32,5
Switzerland,1241,521,639,69,4
Thailand,1534,617,801,103,9
Trinidad and Tobago,1002,518,352,116,17
Turkey,1346,502,657,127,58
Ukraine,1000,113,633,176,50
Egypt,3051,293,2242,452,61
United Kingdom,1041,528,445,54,12
United States,1249,430,734,80,5
Burkina Faso,1534,370,853,239,61
Uruguay,1000,303,556,119,17
Zambia,1500,266,509,567,
